ID,SceneMainID,SceneSubID,CharacterID,CharacterFace,CharacterPosition,Dia_Type,Dia_ENG,Dia_CHT,Dia_CHS,Dia_JP,Dia_KR,Remark
0,0,0,0,1,0,0,Hello guy! Welcome to the functional demo of 'Metroidvania game development tutorial'.,哈囉! 您好，歡迎來到 '類銀河惡魔城遊戲開發教程' 功能性Demo。,哈啰! 您好，欢迎来到 '类银河恶魔城游戏开发教程' 功能性Demo。,,,Demo 文本 - 主角Talk
1,0,0,0,0,0,0,This demo was created by EG Studio's FishMan Wong alone and most of the art uses free materials from Unity Asset Store as well as a small portion of FishMan hand make materials.,本Demo是由EG工作室小魚神一人所製作，大部分美術使用了Unity商城的免費素材以及小部分原創素材。,本Demo是由EG工作室小鱼神一人所制作，大部分美术使用了Unity商城的免费素材以及小部分原创素材。,,,Demo 文本 - 主角Talk
2,0,0,0,0,0,0,In addition，the demo is designed to more intuitively demonstrate how Unity 2023 can create exquisite 2D action games.,Demo是為了更直觀展示Unity 2023如何製作出精美的2D動作遊戲而做出來的。,Demo是为了更直观展示Unity 2023如何制作出精美的2D动作游戏而做出来的。,,,Demo 文本 - 主角Talk
3,0,0,0,0,0,0,The game has a total of 14 functional room，explaining the learning period during every 7+7 period to help you quickly learn game production!,遊戲一共設有14個功能性房間，解釋7+7期間的學習期，幫助您快速學習遊戲製作!,游戏一共设有14个功能性房间，解释7+7期间的学习期，帮助您快速学习游戏制作!,,,Demo 文本 - 主角Talk
4,0,0,0,1,0,0,Also，please follow the author's YouTube and Bili Bili. FishMan Wong will follow the demo to explain in detail how each function is implemented.,還有請您關注作者的Youtube和Bili Bili，小魚神會按著Demo詳細講解每一個功能到底是怎麼實現的。,还有请您关注作者的Youtube和Bili Bili，小鱼神会按着Demo详细讲解每一个功能到底是怎么实现的。,,,Demo 文本 - 主角Talk
5,0,0,0,1,0,0,OK! Let's a GO!,關注好了就可以出發囉! 加油加油~,关注好了就可以出发啰! 加油加油~,,,Demo 文本 - 主角Talk
6,0,0,0,1,0,0,I almost forgot， if you want to communicate directly with the FishMan Wong， you can go to the small room on the left to trigger the mechanism and the webpage will automatically pop up!! Looking forward to your contact ^_^,啊! 差點忘記了，如果想與作者小魚神直接交流，可以前往左面的小房間觸發機關就會自動彈出網頁啦!! 期待你的聯繫 ^_^,啊! 差点忘记了，如果想与作者小鱼神直接交流，可以前往左面的小房间触发机关就会自动弹出网页啦!! 期待你的联系 ^_^,,,Demo 文本 - 主角Talk
7,0,0,0,1,0,0,And to the right is the 7+7 tutorial section.,而往右面走就是7+7教學部分了。,而往右面走就是7+7教学部分了。,,,Demo 文本 - 主角Talk
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,0,0,0,0,0,1,Are you ready?,你準備好了嗎?,你准备好了吗?,,你準備好了嗎?,Demo 文本 - 主角Question
11,0,0,0,0,0,0,You are really in a hurry，please look at the operation button icons in the background before starting.,真的急性子呢，開始之前看背景中的操作按鍵圖示喲。,真的急性子呢，开始之前看背景中的操作按键图标哟。,,,Demo 文本 - 主角Anwser 1 跳轉
12,0,0,0,1,0,0,Hey look，in the scene background have key list，these illuminated buttons are valid buttons for this demo and the remaining buttons can be officially used after continued development.,看好囉，背景的遊戲操作列表，亮燈的按鍵是本Demo有效的按鍵，其餘的按鍵可在經持續開發後就可以正式使用啦。,看好啰，背景的游戏操作列表，亮灯的按键是本Demo有效的按键，其余的按键可在经持续开发后就可以正式使用啦。,,,
13,0,0,0,0,0,0,If you feel that the default keys are not easy to use，you can press the start key to go to the main menu to modify them.,如果覺得默認鍵不好使，可以按下開始鍵前往主菜單進行修改。,如果觉得默认键不好使，可以按下开始键前往主菜单进行修改。,,,
14,0,0,0,0,0,0,It seems that you are ready to learn. Before you start，look at the operation button icons in the background.,看來您已經準備好學習了，開始之前看背景中的操作按鍵圖示喲。,看来您已经准备好学习了，开始之前看背景中的操作按键图标哟。,,,Demo 文本 - 主角Anwser 2 跳轉
15,0,0,0,1,0,0,Hey look，in the scene background have key list，these illuminated buttons are valid buttons for this demo and the remaining buttons can be officially used after continued development.,看好囉，背景的遊戲操作列表，亮燈的按鍵是本Demo有效的按鍵，其餘的按鍵可在經持續開發後就可以正式使用啦。,看好啰，背景的游戏操作列表，亮灯的按键是本Demo有效的按键，其余的按键可在经持续开发后就可以正式使用啦。,,,
16,0,0,0,0,0,0,If you feel that the default keys are not easy to use，you can press the start key to go to the main menu to modify them.,如果覺得默認鍵不好使，可以按下開始鍵前往主菜單進行修改。,如果觉得默认键不好使，可以按下开始键前往主菜单进行修改。,,,
17,0,0,0,0,0,0,Is it because you don't know how to press buttons yet? You can see the operation button icons in the background in detail.,是不是因為還不會按鍵操作啊? 您可以詳細看背景中的操作按鍵圖示喲。,是不是因为还不会按键操作啊? 您可以详细看背景中的操作按键图标哟。,,,Demo 文本 - 主角Anwser 3 跳轉
18,0,0,0,1,0,0,Hey look，in the scene background have key list，these illuminated buttons are valid buttons for this demo and the remaining buttons can be officially used after continued development.,看好囉，背景的遊戲操作列表，亮燈的按鍵是本Demo有效的按鍵，其餘的按鍵可在經持續開發後就可以正式使用啦。,看好啰，背景的游戏操作列表，亮灯的按键是本Demo有效的按键，其余的按键可在经持续开发后就可以正式使用啦。,,,
19,0,0,0,0,0,0,If you feel that the default keys are not easy to use，you can press the start key to go to the main menu to modify them.,如果覺得默認鍵不好使，可以按下開始鍵前往主菜單進行修改。,如果觉得默认键不好使，可以按下开始键前往主菜单进行修改。,,,
20,0,0,0,0,0,0,Now that you have downloaded the teaching demo，don’t wait any longer，don’t waste time anymore，and quickly take a look at the operation button icons in the background.,既然都把教學Demo下載了就不要再等了，不要再白白浪費時間，趕緊看看背景中的操作按鍵圖示吧。,既然都把教学Demo下载了就不要再等了，不要再白白浪费时间，赶紧看看背景中的操作按键图标吧。,,,Demo 文本 - 主角Anwser 4 跳轉
21,0,0,0,1,0,0,Hey look，in the scene background have key list，these illuminated buttons are valid buttons for this demo and the remaining buttons can be officially used after continued development.,看好囉，背景的遊戲操作列表，亮燈的按鍵是本Demo有效的按鍵，其餘的按鍵可在經持續開發後就可以正式使用啦。,看好啰，背景的游戏操作列表，亮灯的按键是本Demo有效的按键，其余的按键可在经持续开发后就可以正式使用啦。,,,
22,0,0,0,0,0,0,If you feel that the default keys are not easy to use，you can press the start key to go to the main menu to modify them.,如果覺得默認鍵不好使，可以按下開始鍵前往主菜單進行修改。,如果觉得默认键不好使，可以按下开始键前往主菜单进行修改。,,,
23,,,,,,,,,,,,
24,,,,,,,,,,,,
25,,,,,,,,,,,,
26,,,,,,,,,,,,
27,,,,,,,,,,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
30,0,0,0,0,0,0,Game development - Day 01 (Beginner),遊戲開發第一天! (初階),游戏开发第一天! (初阶),,,Demo 文本 - Day 01 開始
31,0,0,0,0,0,0,Tutorial content : [1] Create a new URP 2D project，[2] TileMap application，[3] Test scene construction & background (Layer settings)，[4] Set collision layers.,講解內容 : 新建URP 2D項目、TileMap應用、測試場景搭建 & 背景顯示圖層、設定碰撞圖層。,讲解内容:新建URP 2D项目、TileMap应用、测试场景搭建 & 背景显示图层、设定碰撞图层。,,,
32,0,0,0,0,0,1,Do you want to skip the tutorial? (Day 01),你要跳過D1教學嗎?,你要跳过D1教学吗?,,,
33,0,0,0,0,0,0,The development process on the Day 01 :,遊戲在首天的開發流程 :,游戏在首天的开发流程 :,,,Demo 文本 - Day 01 - Anwser
34,0,0,0,0,0,0,1) Open Unity 2023 and create a new URP 2D project.,1) 從電腦打開Unity 2023並新建一個URP 2D項目。,1) 从计算机打开Unity 2023并新建一个URP 2D项目。,,,
